Game Title,Genre,Sub-Genre,Key Mechanics,Key Dynamics,Key Aesthetics,Misc Game Characteristics,PEGI Rating,Gameplay Summary,Major Game Design Elements,Developer,Publisher
Crysis,FPS,Sci-Fi Shooter,"Nanosuit abilities (speed, strength, armor, and cloaking); Open-ended levels allowing multiple tactical approaches; Highly destructible environments; Advanced AI behaviors and physics interactions.","Power dynamics based on the suit's abilities, requiring players to adapt to situations; Strategic use of stealth or combat options depending on player choice; Reactive AI based on player actions; Exploration-driven gameplay with freedom to approach objectives in different ways.",Realistic tropical island settings with stunning natural visuals; Detailed nanosuit and weapon design; Immersive sound design that enhances the sense of realism.,"Pushes the limits of hardware with its advanced CryEngine, offering a benchmark for graphics and physics interactions in gaming.",PEGI 16,"A first-person shooter where players use a nanosuit to fight off alien invaders and North Korean soldiers on a tropical island, with open-ended gameplay and tactical freedom.",Open-ended combat and stealth options; advanced nanosuit abilities; realistic physics interactions; expansive environments.,Crytek,Electronic Arts
EverQuest II,MMORPG,Fantasy,Class-based character progression; Quest-driven narrative with expansive world-building; Player housing and guilds; Crafting and resource gathering systems.,"Social dynamics through guilds and multiplayer questing; Player-driven economy with crafting and trading; Exploration and discovery within a massive, persistent world; Character development through class progression and leveling.","Fantasy-themed world with high-fidelity graphics for its time; Varied biomes, from forests to deserts; Character and creature designs reflecting high fantasy themes.",Has deep player housing customization and emphasis on cooperative multiplayer content.,PEGI 12,"A fantasy MMORPG that offers players the chance to explore a vast, persistent world filled with quests, dungeons, and player-driven crafting and economy systems.",Class-based progression; crafting systems; quest-driven narratives; player housing; guild-based multiplayer gameplay.,Sony Online Entertainment,Sony Online Entertainment
Battlefield,FPS,Tactical Shooter; Multiplayer,"Large-scale battles with up to 64 players; Class-based system for soldiers with different abilities; Destructible environments and vehicles; Objective-based game modes (e.g., Conquest).",Team-based dynamics focusing on coordination and tactical objectives; Dynamic shifts between infantry combat and vehicle warfare; Emergent gameplay as players react to changing battle conditions; Player agency through role selection and strategic coordination.,"Realistic wartime settings with high-detail visual effects and audio immersion; Expansive maps showcasing different theaters of war; Dark, gritty aesthetics reflecting the chaos of war.","Features destructible environments through the Levolution system and the Frostbite Engine, offering strategic opportunities by altering maps in real-time.",PEGI 18,"An immersive, tactical first-person shooter series focused on large-scale warfare with dynamic objectives, vehicular combat, and a class-based system for diverse gameplay experiences.",Large-scale multiplayer combat; objective-based gameplay; vehicle warfare; destructible environments are central to gameplay.,DICE,Electronic Arts
Unreal Tournament 2004,FPS,Arena Shooter,"Fast-paced, arena-based combat; Various game modes including Capture the Flag and Team Deathmatch; Extensive weapon variety; Vehicular combat in large maps.",High-speed combat dynamics focusing on reflexes and map control; Team-based and individual modes encouraging both solo and cooperative strategies; Power-up management as a critical element of gameplay.,Sci-fi environments with futuristic technology and architecture; Bright neon colors in maps and characters; Heavy metal and electronic music for high-octane action.,"Famous for its modding community and customizable gameplay, allowing players to create new maps, mods, and even game modes.",PEGI 16,"An arena-based first-person shooter that features fast-paced, reflex-driven combat with multiple game modes and a wide range of weapons and vehicles.",Arena-based combat; vehicular warfare; team-based and individual modes; a strong community-driven modding scene.,Epic Games,GT Interactive
MapleStory,MMORPG,2D Side-Scrolling MMORPG,Side-scrolling platforming; Class-based character progression; Cooperative multiplayer gameplay; Pet system and character customization.,Social dynamics through party formation and guilds; Competitive dynamics through PvP arenas and boss fights; Quest-based progression with platforming challenges.,"Bright, cartoon-style 2D art; Simplified character and enemy design for a nostalgic aesthetic; Quirky, cheerful music.",Known for its engaging and diverse character classes and community-oriented multiplayer gameplay.,PEGI 12,"A free-to-play 2D side-scrolling MMORPG where players take on quests, defeat monsters, and interact with a large player community while leveling up through unique classes.","Platforming mechanics, cooperative multiplayer gameplay, class-based progression, and social systems such as guilds and in-game events.",Wizet,Nexon
Final Fantasy XIV: A Realm Reborn,MMORPG,Fantasy MMORPG,Class and job systems with customizable characters; Group-based dungeons and raids; Crafting and gathering systems; Real-time combat with global cooldowns.,Cooperative dynamics through party-based gameplay; Persistent world exploration with evolving story arcs; Player economy through crafting and trading; Group coordination in high-level raids and dungeons.,High-fantasy settings with beautiful and intricate world designs; Character and gear customization; Epic orchestral music complementing large-scale battles.,"Launched as a relaunch of the original Final Fantasy XIV, praised for its rebirth and highly engaged player community",PEGI 16,"A massively multiplayer online RPG set in the world of Eorzea, where players create their character and explore a vast fantasy world filled with quests, dungeons, and crafting opportunities.",Class-based progression; real-time combat with cooldowns; group dungeons and raids; a vibrant in-game economy.,Square Enix,Square Enix
Spider-Man,Action-Adventure,Superhero; open-world,"Web-swinging traversal; Combat mechanics including combos and finishers; Stealth sequences using Spidey's abilities; Exploration of open-world New York City; Combatcan be either of three actions which are dodging, physical strikes, and a separateset of web-based attacks",Dynamic combat with smooth transitions between exploration and action; Freeform movement using web-swinging across a large urban environment; Narrative-focused progression with side quests.,"Realistic depiction of New York City with comic book-style elements; Cinematic cutscenes; Bright, heroic tones in character design and story elements; Music lends to the cinematic ambiance","Known for its fluid traversal mechanics, allowing players to explore a fully-realized New York City",PEGI 16,"Players take on the role of Spider-Man, using his web-swinging abilities and combat skills to protect New York from a variety of villains in this open-world adventure.",Web-swinging traversal; dynamic combat system; open-world exploration; superhero narrative.,Insomniac Games,Sony Interactive Entertainment
Finding Nemo,Action-Adventure,Movie Tie-in,Puzzle-solving using character abilities; Platforming through underwater environments; Switching between characters for unique skills; Collectible gathering.,Switching between characters to solve environment-specific puzzles; Exploration-driven gameplay; Collection and progression tied to story development.,Vibrant underwater world based on the Disney/Pixar movie; Faithful recreation of film characters and settings; Colorful and family-friendly visuals.,"Offers both single-player and multiplayer modes, designed to appeal to a younger audience.",PEGI 3,"A game adaptation of the movie Finding Nemo, where players perform as the film's protagonists Nemo, Marlin or Dory to navigate various underwater environments, solve puzzles, and collect items to progress through the story.",Character-switching mechanics; underwater exploration; movie-based storytelling.,Traveller's Tales,THQ
Second Life,Simulation,Virtual World,User-generated content creation; Avatar customization and social interaction; Building and scripting objects using in-game tools; Economy and trading.,Emphasis on user freedom to create and modify the virtual world; Social dynamics through interaction with other users; Virtual property and economy.,"Open-ended visual design where each space can be customized; Avatars ranging from realistic to fantastical; Immersive, user-generated environments.","Unique for allowing players to create and sell virtual goods and services; Used for social interactions, business meetings, and virtual events.",PEGI 18,Second Life is a multiplayer virtual world where players create avatars and explore a vast online world filled with customizable experiences and social interactions.,User-generated content; social interaction; real-world economy; persistent virtual environments; Creators say it is not a typical game,Linden Lab,Linden Lab
Half-Life,FPS,Sci-Fi Shooter,Immersive player experience as player has almost uninterrupted control of the player character; First-person combat combined with puzzle-solving; Use of physics-based mechanics with the Gravity Gun; Linear storytelling and exploration; Weapon variety.,"Focus on single-player, narrative-driven experiences; Dynamic combat blending action and puzzle elements; Environmental storytelling through exploration.","Industrial, dystopian sci-fi environments; Realistic sound design with immersive atmospheric audio; Cinematic cutscenes blended into gameplay.",Known for revolutionizing narrative-driven shooters; blending storytelling with interactive environments.,PEGI 18,Half-Life is a first-person shooter where players take control of Gordon Freeman as he navigates through a facility overrun by alien creatures and enemies.,Puzzle-based level design; interactive environments; sci-fi storytelling; physics-based mechanics; Story is mostly experienced through scripted sequences rather than cutscenes,Valve,Sierra Studios
Far Cry,FPS,Open-World Shooter; Adventure,Open-world exploration; Gunplay combined with stealth mechanics; Use of vehicles for traversal; Wildlife interaction.,Dynamic combat with player choice between stealth and aggression; Open-ended exploration with objectives scattered across the world; Environmental storytelling and dynamic events.,Realistic and immersive jungle and tropical environments; Detailed character models and animations; Day-night cycle with weather effects.,"Known for offering a vast open world filled with enemy camps, wildlife, and environmental challenges.",PEGI 18,"Far Cry is an open-world first-person shooter where players must survive in a hostile tropical environment while completing various missions and objectives. Players take on the role of operative Jack Carver who must use various weapons, tools, and his surroundings to survive against hostile mercenaries that control the islands while searching for the journalist who was accompanying him and who went missing.",Open-world exploration; dynamic gunplay; vehicle traversal; interactive wildlife.,Crytek,Ubisoft
Rift,MMORPG,Fantasy MMO,Dynamic rift events that spawn in the world; Soul system for customizable character builds; PvE and PvP dungeons and raids; Crafting system.,Cooperative play via dynamic events and world invasions; Flexible class system allowing for multi-role characters; Competitive PvP with large battles.,Dark fantasy environments with detailed cities and landscapes; Intricate character designs with customizable abilities; Immersive spell effects and animations.,"Set in the dynamic fantasy universe of Telara, known for its unique dynamic rift system that keeps the game world unpredictable and alive, fostering both solo and group play.",PEGI 16,"Rift is a fantasy MMORPG that centers around dynamic world events and invasions, where players must defend against planar rifts and build powerful characters.",Dynamic rift events; soul system for class flexibility; group-based raids; PvP content.,Trion Worlds,Trion Worlds
Elvenar,Simulation,City-Building MMO; Strategy,"City Construction and Expansion where players build and upgrade structures such as houses, workshops, and cultural buildings; Resource Management where players manage resources like coins, supplies, and goods to maintain city growth; Research Tree with branching paths used to unlock new buildings and abilities. Turn-Based Combat where players engage in tactical, grid-based combat with customizable units.","Resource Flow where players must continuously balance resource production to ensure city expansion; Buildings are dependent on cultural points, forcing strategic placement and cultural boosts; Players can trade resources with others and form alliances for mutual support; Combat Tactics where Players need to decide when and how to engage in turn-based battles or avoid conflicts altogether.","Fantasy World includes a vibrant fantasy world with Elven and Human aesthetics, each having distinct architectural styles; Medieval and Mystical Visuals with structures, units, and landscapes are richly detailed in medieval and mystical designs; Peaceful Music; Colorful, Lush Environments where greenery and nature-based elements dominate the landscape; Ongoing seasonal events and challenges keep gameplay fresh and engaging.","Combines traditional city-building elements with fantasy lore, focusing on creating an optimal city while balancing resources and technologies. Players can choose between playing as Humans or Elves, with each faction offering unique buildings and aesthetics. Unlike other city-builders, Elvenar does not have military conquest as a primary focus but offers combat options.",PEGI 7,"Elvenar is a fantasy city-building game where players develop a thriving city, gather resources, and research new technologies to expand their civilization.","City building; resource management; technology tree progression; social interaction via alliances; deep player-driven economy, where trading is crucial for resource acquisition",InnoGames,InnoGames
Tera,MMORPG,Action MMO,"Real-Time Combat System that combines action-based combat, including dodging, aiming, and skill chaining; Targeting System uses a crosshair to manually aim at enemies, eliminating the traditional ""tab-targeting"" used in most MMORPGs; Class Diversity offers a wide range of 13 playable classes, each with its own unique abilities and playstyles; PvE and PvP Content includes dungeons, raids, open-world bosses, battlegrounds, and duels; Crafting and Gathering where players can engage in resource gathering and crafting items like weapons, armor, and potions.","Action-Based Combat includes high paced combat is dynamic and interactive, requiring players to dodge and position themselves; Team-Based Play encourages group play, especially in dungeons, with roles like tank, healer, and DPS; Leveling up unlocks new skills and abilities, offering depth to character development; Open-world PvP allows players to engage in spontaneous fights, adding unpredictability.","Vibrant, detailed fantasy world with anime-like visuals; Fluid animations for characters and enemies; Large, open-world environments; Detailed Armor and Weapons","One of the first MMOs to emphasize true action combat over traditional targeting, fostering a more active and immersive playstyle.",PEGI 12,"Tera is a massively multiplayer online RPG that features action-based combat where players must aim, dodge, and time their attacks in an open fantasy world.",Manual targeting; action combat; quest-driven progression; large-scale PvP battles.,Bluehole Studio,"KRAFTON, Gameforge"
SkyForge,MMORPG,Action MMO; Sci-Fi; Fantasy,Class-switching without rerolling; Divine Form transformation; Combat focused on action rather than targeting; Player progression through prestige.,Group-based play with dynamic battles; Cooperative world events; Player choice in character development through ascension atlas.,Futuristic fantasy aesthetic; Detailed character models and abilities; Large-scale world with diverse biomes.,"Combines traditional fantasy elements with sci-fi aspects, offering class diversity and flexible playstyles for solo or group play.",PEGI 16,SkyForge is a sci-fi fantasy MMO where players assume the role of an immortal warrior tasked with protecting their planet from invading alien forces.,Dynamic combat; class-switching system; cooperative gameplay; flexible character progression.,"Allods Team, Obsidian",My.com
Age of Empires,RTS,Historical; City-Building; War Simulation,"Resource Gathering where players collect resources (food, wood, stone, gold) to develop their civilization; Building and Upgrading where players construct buildings, units, and technologies to strengthen their empire; Combat and Unit Control where military units are built and controlled in large-scale battles; As players advance through different ages (e.g., Stone Age to Iron Age), new technologies, units, and buildings become available through tech tree progression.","Strategic Decision-Making requires balancing resource management, military conquest, and technological advancement; Territorial Expansion where players compete to control more land and resources by exploring and building; Multiplayer Engagement allows competitive and cooperative play, adding dynamic interactions between players; Each civilization has unique strengths and units, requiring specific strategies for success.","Set in different eras of history, from ancient times to the medieval period; Each civilization has distinct architectural styles and unit designs based on real-world counterparts; Maps vary from forests and deserts to rivers and mountains, adding to the realism of exploration; Immersive, detailed battle animations.","One of the most influential RTS franchises, combining historical accuracy with strategic depth across different eras and civilizations.",PEGI 12,"Age of Empires allows players to build, develop, and command civilizations across different periods of history. Players must gather resources, build towns, research technologies, and lead armies to conquer enemies and expand their territory. The game’s real-time strategy mechanics and historical context have made it a defining title in the RTS genre. The game also offers a variety of single-player campaigns, multiplayer battles, and custom scenarios.",Base building; resource management; military strategy; civilization-specific technologies.,World's Edge, Microsoft
Anno Online,Strategy,Free-to-play; Browser-based,City-building and resource management; Strategic planning for population growth and happiness; Trade and economy management; Exploration and territorial expansion; Multiplayer guild system for cooperative play,Community building; Cooperative gameplay with guilds; Dynamic population management; Trade and diplomacy; Strategic planning for long-term success.,"Detailed, historic-inspired city visuals; Top-down view of cities and territories; Vibrant building designs and unique landscapes; Immersive environments with seasonal changes; Calm, strategic atmosphere with city-building themes.",Online-only gameplay; Free-to-play model with microtransactions; Historical progression.,PEGI 12,"Players build and manage a growing city in a historic, fictional setting, balancing resources, economy, and trade to expand their territory and increase their population’s happiness. Players can interact and trade with others in this persistent online world.",Strategic city-building; Resource and population management; Multiplayer economy and trade.,Ubisoft Blue Byte,Ubisoft
Age of Conan,MMORPG,Fantasy; Open World,"Real-time combat system where players manually attack in real-time, making combat more engaging than the typical automated MMORPG mechanics; Quest-based progression; Mount and pet system; Crafting and economy systems; Skill-based abilities and combat mechanics.","Player cooperation in raids and dungeons where players can form parties or guilds to tackle difficult dungeons and world bosses, participating in large-scale raids that require teamwork and coordination; Exploration-driven gameplay; PvP and PvE combat includes separate zones for PvE and PvP combat, offering a dynamic shift between cooperative and competitive gameplay; Class-based dynamics affecting gameplay; Resource gathering and crafting; Fame and Renown system where players can earn renown in specific factions and regions by completing quests or engaging in PvP, enhancing their status and unlocking new features.","Dark, medieval fantasy visuals; Detailed character customization; Atmospheric landscapes with realistic lighting; Combat animations and effects; Rich environment design with ruins, cities, and wilderness.","Mature themes as the game contains graphic violence and mature themes, including dark fantasy elements.; Large open-world PvP and PvE environments; Dedicated PvP servers for players who prefer a more competitive experience.",PEGI 18,"Age of Conan is a dark fantasy MMORPG set in the world of Conan the Barbarian, where players embark on quests, fight in real-time combat, and explore a vast open world filled with danger, political intrigue, and ancient lore. Players can engage in both PvP and PvE, craft items, develop characters through class systems, and participate in large-scale raids or guild warfare.",Real-time combat; Open-world exploration; Raid and dungeon system; Highly detailed storylines inspired by Conan lore,Funcom,"Eidos Interactive, Funcom"
Tycoon City: New York,Simulation,City-building; Management,"Construction and building management where players design and construct buildings across New York City’s boroughs, managing their businesses and optimizing their resources to grow their empire; Micro-managing various city districts; Task and objective management; Business and revenue growth systems; Player agency in city layout; Event-driven gameplay where players encounter random events and challenges that affect their business strategy, such as stock market crashes or local events that influence customer flow; Economic simulation where players must manage finances, control costs, set prices, and maintain profit margins.","Revenue and economy-driven city growth; Strategic placement of entertainment venues and industries; Interactive urban planning where players design the infrastructure to facilitate transportation, residential and commercial growth, and public services to sustain economic progress; Constant feedback loop of city happiness and finances; Creative freedom for city aesthetics; Timed objectives driving player decisions; City evolution shows as businesses flourish or fail, the visual and economic landscape of the city changes dynamically","Realistic cityscapes reflecting New York; Colorful, bustling environments; Vibrant business and residential districts; Detailed people and urban life simulation; Dynamic weather and time-of-day visuals.","Realistic representation of New York; Simulation focused on real-world business and construction. Players can build famous and Historic New York landmarks like the Statue of Liberty and Times Square; Cultural diversity in simulation as the game reflects New York’s diverse population, with unique cultural influences in customer behaviors and business opportunities",PEGI 3,"Tycoon City: New York puts players in the role of an aspiring business tycoon with the goal of building a profitable empire in New York City. Players start with a small business and work their way up, constructing buildings, managing businesses, and competing with rivals to dominate the city’s economy. The game offers a blend of city-building and economic simulation, with players having the freedom to create their own version of New York’s skyline. The objective is to enable players to manage and develop New York’s economy and infrastructure, creating entertainment districts, managing businesses, and responding to city needs for growth and prosperity.",City management; Business revenue and economy; Creative city planning and construction.,DR Studios,"Atari, Inc."
Cut the Rope,Puzzle,Physics-based Puzzle,Physics-based rope-cutting mechanics; Gravity and motion physics; Time-sensitive challenges; Objective to collect stars; Dynamic obstacles with evolving complexity.,Chain reaction mechanics with the environment; Timing and precision for puzzle-solving; Encouraging experimentation with level solutions; Progressive difficulty curves; Dynamic physics interactions with multiple elements.,"Cartoonish, colorful art style; Friendly, whimsical character design; Interactive backgrounds; Simple but polished UI; Visual feedback for success/failure.",Simple yet challenging for all ages; Real-world physics applied creatively.,PEGI 3,"The goal is to feed candy to a small monster by cutting ropes that hold the candy in place. Players navigate complex physics puzzles, encountering various obstacles as they progress.",Physics-based puzzles; Puzzle-solving through timing and logic; Dynamic difficulty progression.,ZeptoLab,ZeptoLab
Angry Birds Space,Puzzle,Physics-based Puzzle,Physics-based slingshot mechanic; Different birds with special abilities; Gravity manipulation across planets; Strategy-based levels; Destruction-based mechanics.,Strategic use of different bird abilities; Players adjust trajectories based on planetary gravity; Puzzle-solving dynamics based on object destruction; Encourages replayability for star collection; Highly interactive physics-based environment.,"Cartoonish space setting; Bright, vibrant color schemes; Sci-fi themed backgrounds; Stylized animations for bird attacks; Interactive planets with gravity wells and effects.",Space theme adds new mechanics not present in other Angry Birds games; Focus on gravity mechanics sets it apart from others.,PEGI 3,Players slingshot birds across planets to destroy structures while manipulating gravitational forces and strategizing each shot.,Gravity-based physics puzzles; Strategy and timing; Destruction mechanics for puzzle-solving.,Rovio Entertainment,Rovio Entertainment
PUBG (PlayerUnknown's Battlegrounds),MMO,Battle Royale; Shooter; Tactical Shooter; Multiplayer,"Parachuting and looting where players drop into a map and scavenge for weapons; Shrinking playzone where players are forced into close combat; Realistic gunplay and bullet physics; Vehicles for fast movement; In team modes, knocked-down players can be revived by teammates, adding team-play dynamics and strategic decisions","Survival tension where players must strategize when to engage or hide; Resource scarcity; Multiplayer coordination; Risk-reward decision making to explore dangerous areas for high-value loot; Collaboration and Communication because in squad play, effective communication and coordination between team members is key to survival.","Realistic and highly detailed environments, including cities, rural areas, forests, and deserts, each with distinct visual and tactical challenges; Tense, high-stakes atmosphere because of shrinking playzone and the constant risk of ambush create an intense, suspenseful experience; Dynamic weather and lighting; Minimalistic HUD and PUBG’s clean user interface allows players to stay immersed in the game while providing vital information (health, mini-map, inventory) without being intrusive",Pioneered the battle royale genre; Cross-platform play; Regular updates and new content; E-sports presence,PEGI 16,"In PUBG, players parachute onto a large, open-world map, where they must find weapons, equipment, and vehicles while fighting against other players. The goal is to be the last person or team standing as the play zone shrinks, forcing players into a smaller space and increasing the intensity of encounters. Matches can be played solo, in duos, or in squads, with each mode requiring different tactical approaches.","Realistic gunplay; Shrinking map mechanics; Vehicle traversal; Varied Map Design where maps range from dense urban environments to open rural landscapes, offering different tactical opportunities; Looting and Scavenging for gear adds a strong sense of progression during each match","KRAFTON, PUBG Corporation",PUBG Corporation
Marble Madness,Puzzle,Arcade; Casual; Platformer,"Tilt and roll mechanics where players control a marble and must navigate through various obstacles; Limited time mechanics where the player must complete levels within a time limit; Physics-based puzzles where players must factor in momentum and balance to complete levels; Collision and Enemy Interaction where players face off against enemies and interact with objects that can alter the marble's direction; Increasing difficulty with different surfaces (ice, conveyor belts, etc.) that impact marble movement.",Time management tension because limited time creates constant pressure; Physics puzzles; Trial and error gameplay as success comes after repeated attempts.,"Bright colors and geometric shapes; Futuristic and abstract aesthetic; Simple, clean design.","One of the earliest games with a physics engine; Popular in arcades during the late '80s; Simple, yet challenging.",PEGI 3,"In Marble Madness, players must guide a marble through isometric obstacle courses within a time limit. Each level presents increasingly difficult terrain, including slopes, enemy marbles, and environmental hazards like conveyor belts and slippery ice. The game is divided into multiple levels, each offering distinct challenges and requiring precise control and speed. The objective is to reach the goal at the end of each level before time runs out, with leftover time rolling over to the next stage. Players lose lives by falling off the track or getting destroyed by enemies.","Physics-Driven Puzzles where players must account for marble momentum, speed, and slopes to navigate the environment; Time-Based Gameplay as levels are designed to put pressure on players, encouraging fast and precise movement;",Atari Games,Atari Games
StarCraft 2,RTS,Sci-Fi; Military,Resource Management where players must gather minerals and vespene gas to build units and structures; Base building and resource management where players must balance gathering resources with building an army; Micro-management of units requires precision control of units in real-time combat; Tech tree development helps in developing advanced technologies over time.,Multiplayer dynamics requires coordination and competition between players; Resource allocation tension as it includes eciding whether to invest in economy or military; Adaptive strategies where players must adapt strategies depending on opponents’ moves; Territory Control includes expanding and holding territory is essential to secure more resources and strategic advantages.,"Sci-Fi Visuals includes futuristic designs of units, structures, and environments inspired by space and military aesthetics; Cinematic cutscenes and storytelling; Large-scale battles and vivid animations; Each faction (Terran, Zerg, Protoss) has distinct visual and thematic designs.","Highly Active Modding Community; One of the most popular RTS games; Extensive competitive e-sports scene; Three distinct factions (Terran (humans), Zerg (alien swarm), and Protoss (advanced aliens)) and races with different playstyles.",PEGI 16,"StarCraft 2 is a real-time strategy game where players take control of one of three factions: Terran, Zerg, or Protoss. The game emphasizes fast-paced strategy, base-building, resource management, and tactical unit control. Players must gather resources, build structures, and assemble an army to defeat opponents. The single-player campaign follows the story of Jim Raynor and his resistance against the Terran Dominion, while multiplayer modes focus on competitive matches.","Asymmetrical Factions as each faction offers completely different playstyles, units, and strategies; Macro and Micro Balance where players must manage large-scale economy and production while also micromanaging individual units in battles; Real-Time Strategy at its core because it involves decision-making in real-time, adapting to enemy tactics and the game's ever-changing dynamics; Rich Lore and Storytelling as the game features an engaging narrative set in a futuristic universe, with rich lore for each faction and character.",Blizzard Entertainment,Blizzard Entertainment
Dead Island,RPG,Survival Horror; Open World; Co-op,Melee and ranged combat where players use weapons and fists to survive against zombies; Crafting where players can modify and create weapons; Open-world exploration as the island is vast and full of dangers and resources; Co-op multiplayer mode allows players to team up to survive; Leveling up and unlocking new skills through experience points,"Resource scavenging; Exploration tension involves managing health and supplies in a hostile world; Co-op dynamics involves cooperation with teammates for survival; Skill progression involves weapons and characters becoming stronger over time; Survival Horror where players must manage health, stamina, and limited resources","Tropical Island Setting of a visually contrasting paradise infested with zombies; Realistic Gore shows blood and dismemberment are prominent during combat; Realistic zombie models; Day/Night Cycle creates a more immersive, dangerous environment; The game uses dark tones and unsettling sounds to heighten the horror.",Loot System where players can loot resources and upgrade their gear; RPG progression system; Branching narrative; Co-op focus; Crafting and exploration elements.,PEGI 18,"Dead Island is an open-world action RPG set on a tropical island overrun by zombies. Players choose from different characters, each with unique abilities and skill trees, and must survive the island’s dangers while completing quests. The game emphasizes melee combat, weapon crafting, and character progression. Players can also team up in co-op multiplayer for a more tactical experience.","Open-world exploration as he island is fully explorable, with non-linear gameplay; Zombie combat; Weapon crafting; Supports up to 4 players, enhancing teamwork dynamics; Players can customize characters with skills and gear",Techland,Deep Silver
Bulletstorm,FPS,Action; Sci-Fi,Skillshot combat system where points awarded for creative kills; Leash mechanic to pull enemies toward the player; Environmental interaction use the environment to execute creative kills; Combo System where players chain kills together to earn higher scores.,"High-Speed Combat is fast-paced, with a focus on chaining attacks; Tactical Aggression where players are encouraged to use aggressive strategies to score more points; Score-Attack Gameplay as the game rewards creativity and risk-taking through its scoring system; Environmental hazards and bonuses","Grim sci-fi visuals with setting in a futuristic alien planet with vibrant, detailed environments.; Over-the-top gore and explosions; Stylized, exaggerated animations; The game incorporates dark humor and witty dialogue throughout.","Emphasis on ""creative"" kills; Dark humor and over-the-top action; Unique mechanics like the leash; Arcade-Style FPS focuses on fun, fast-paced gameplay rather than realism.",PEGI 18,"Bulletstorm is a first-person shooter that focuses on creative, skill-based kills through the ""Skillshot"" system, where players are rewarded for eliminating enemies in unique and brutal ways. The game features fast-paced, high-energy combat and a variety of weapons and abilities, including a leash to control enemies and the environment. Set on a futuristic alien planet, the game blends sci-fi elements with dark humor and over-the-top action.","Skillshot System encourages players to creatively kill enemies for higher scores; Fast-Paced Shooter Mechanics emphasizes movement and action, with minimal downtime; Features a distinctive tone, blending intense action with irreverent humor; Arcade Scoring-based mechanics that incentivize replayability and competition.","People Can Fly, Epic Games",Electronic Arts
Batman: Arkham City,Action-Adventure,Stealth; Open-World,"Freeflow Combat includes chain attacks in fluid, rhythmic combat; Detective Mode where players investigative tools to find clues and weaknesses; Gadgets like Bat-tools for navigation and combat; Stealth Takedowns where players utilize stealth tactics to silently incapacitate enemies",Combat Fluidity includes chain attacks and gadgets together smoothly; Exploration in Open-world navigation with puzzles and secrets; Predator-Stealth as the sense of fear instilled in enemies as Batman stalks them; Detective Work involves using detective skills to uncover crime-related clues.,Gritty and moody dark Gotham Atmosphere; Detailed Character Designs; Cinematic Feel for transitions between gameplay and cutscenes; Fluid Animations.,Open-World Exploration; Multiple Playable Characters; Side Quests to interact with classic Batman villains; Challenge Mode for special missions for advanced players.,PEGI 16,"Set in a fully open-world Gotham City, Batman: Arkham City continues the Arkham series by pitting Batman against multiple enemies in an intricate plot. With fluid combat, detective mechanics, and a blend of stealth and action, players can explore Gotham and face numerous classic villains.",Open-World Exploration; Skill Upgrades; Fluid Combat System; Multiple Villains and Boss Fights.,Rocksteady Studios,Warner Bros. Interactive
Binary Domain,Third-Person Shooter,Sci-Fi; Action,Cover-Based Shooting where players take cover to avoid damage; Consequences System where decision-making impacts character behavior; Destructible Environments; Squad Tactics where players coordinate attacks with your AI companions,Team Synergy where decisions affect AI squadmates' performance; Moral Dilemmas as decisions affect the storyline and character outcomes; Action-Paced Combat; Strategy in using squad to execute various tactics.,"Futuristic World set in 2080 Tokyo; Realistic Character Models; Dystopian. tense, cybernetic atmosphere; Cinematic Presentation.",Unique Robot Enemies with varied AI; AI Morality shows in companion AI that adapts to player decisions; Cybernetic Enhancements where characters can get cybernetic upgrades; Advanced Destruction Physics.,PEGI 18,"Binary Domain is a third-person shooter that explores themes of artificial intelligence and robotics. The player commands a squad through a futuristic Tokyo, combating rogue robots while managing squad morale and making decisions that affect relationships and outcomes.",Moral Choice System; Squad Management; Cover-Based Combat; Sci-Fi Setting with Destruction Physics.," Devil's Details, Ryu Ga Gotoku Studio",Sega
Street Fighter X Tekken,Fighting,Crossover Fighting,Tag-Team Combat where players select two characters for tag-team battles; Cross Combos where players string together moves between partners; Unique move sets for each fighter; Pandora Mode where players sacrifice one character to enhance the other.,Combos require precise timing; Tag-Team Coordination; Aggression/Defense Balance; Strategic Character Switching where players should know when to swap characters for maximum advantage.,Vibrant Colors; Dynamic Stage Environments; Detailed Character Models; Fast-Paced Animation.,Crossover of Two Major Franchises like Street Fighter and Tekken characters; Gem System where players can equip characters with enhancements; Diverse Character Roster; Combos Across Series where characters share mechanics despite different origins.,PEGI 12,"Street Fighter X Tekken blends the mechanics of two fighting franchises. Players battle in tag-team matches, combining characters and moves from both universes. The game focuses on fast-paced combat, with mechanics like Pandora Mode and Gems adding depth to the crossover gameplay.",Tag-Team Fighting; Cross-Series Mechanics; Pandora Mode; Crossover Character Roster.,Capcom,Capcom
